name,binding_strength,binding,expression,pae_interaction,design_models,mean_plddt_A,mean_plddt_B,interface_pae_AB,interface_contact_mean,interface_contact_max,interface_contact_sum,binding_bool,binding01
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,strong,true,high,13.582976326497883,"[""Custom PLM""]",88.41468117712107,90.64150507352772,12.590622807545053,0.0004187463667889,0.98,62.67,True,1.0
chrisxushaoyong.hu_nano2_4_85252b,strong,true,high,27.06076571950245,"[""Custom PLM""]",84.63233408523253,89.13475880582233,16.523709536307962,0.0007172835279648,0.85,56.57,True,1.0
cetuximab_scfv,strong,true,low,,,88.24091396804876,90.64255957749702,12.565945035780862,0.0004282344765837,0.99,64.09,True,1.0
chrisxushaoyong.hu_nano2_2_7ef96e,strong,true,high,27.46436316837208,"[""Custom PLM""]",81.08970975919198,88.34673041864573,21.7040168891932,0.0006158469321769,0.75,48.57,True,1.0
aureliabustos.bce_var433,medium,true,high,7.931915136876007,"[""ProteinMPNN/LigandMPNN""]",88.19630574401151,87.88371832588842,10.33429307568438,0.0027471819645732,0.99,85.30000000000001,True,1.0
aureliabustos.bce_var464,medium,true,high,7.959212077294685,"[""ProteinMPNN/LigandMPNN""]",88.30206214818638,88.72227735568394,9.770421900161027,0.0027561996779388,0.99,85.58,True,1.0
jvogt4.vogt_scfv_2470,medium,true,medium,17.17749746766402,"[""Custom PLM""]",83.279694373954,87.7424230750221,25.89808256713937,0.0003277102488182,0.5,50.47,True,1.0
lennart.nickel.egfr_l179_s82283_mpnn1,medium,true,high,16.39397426209304,"[""BindCraft""]",82.01072684936763,89.68068010735566,14.359158502685345,0.0004288451677327,0.98,47.67000000000001,True,1.0
aureliabustos.bce_var702,medium,true,high,7.877170692431561,"[""ProteinMPNN/LigandMPNN""]",88.07359489707342,88.43184831572917,9.653014492753622,0.0027140096618357,0.99,84.27000000000001,True,1.0
jvogt4.vogt_scfv_0128,medium,true,high,17.857647005350373,"[""Custom PLM""]",84.55077572419303,88.30872474930764,21.33074320814504,0.0003275803854345,0.69,50.45,True,1.0
jvogt4.vogt_scfv_2009,medium,true,high,17.61640297906602,"[""Custom PLM""]",81.14862701420965,86.72999879235427,29.5363162952574,0.000370500233754,0.15,57.06,True,1.0
briannaughton.1_plus_egfr,medium,true,high,23.74710565352244,,76.90351346121501,90.48734326388936,17.747753107573196,0.0008153859578147,0.92,102.79,True,1.0
alan.blakely.12_6,medium,true,high,20.78455854309687,"[""RFdiffusion"",""ProteinMPNN/LigandMPNN""]",71.5867350045447,90.82997995851396,19.33614642483826,0.0005773088114811,0.99,81.74000000000001,True,1.0
chrisxushaoyong.hu_nano1_3_eef94e,medium,true,high,22.976691730299727,"[""Custom PLM""]",80.2246325742664,86.9791623748374,29.57711937042232,0.0005604903641369,0.28,43.16,True,1.0
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,medium,true,high,13.731237282242716,"[""BindCraft""]",81.33026984840431,89.62425608723711,12.831829161176987,0.0010710364514712,0.98,58.53,True,1.0
kurumida.yoichi.mg_05,medium,true,medium,14.85258202495974,"[""RFdiffusion"",""ProteinMPNN/LigandMPNN""]",81.85621721326531,89.70779177254946,13.28851650563607,0.0014845008051529,0.96,44.25000000000001,True,1.0
alan.blakely.12_3,medium,true,high,20.74602452185213,"[""RFdiffusion"",""ProteinMPNN/LigandMPNN""]",73.46167608924324,90.43015684412474,18.92021569624545,0.0005898804983473,0.99,83.52000000000001,True,1.0
youngsuko2000.queen,medium,true,high,9.144258109040717,"[""Custom generative""]",78.51997320224294,87.45925481592148,13.55459224752703,0.0025894294916034,0.99,90.04999999999998,True,1.0
briannaughton.2_plus_1,medium,true,high,21.993750273752017,,77.02747305879635,88.18978532190059,21.203053140096618,0.0006023188405797,0.97,93.51,True,1.0
briannaughton.1_plus_2,medium,true,high,23.18240328502416,,75.63091825825855,89.00595359902788,22.25473429951691,0.0005342351046698,0.84,82.94,True,1.0
alan.blakely.16_2,medium,true,high,18.611084875405982,"[""RFdiffusion"",""ProteinMPNN/LigandMPNN""]",74.11790532070476,90.77586556685569,19.25354540244002,0.0006048882338491,0.97,88.64999999999999,True,1.0
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,medium,true,high,8.831380682521987,"[""Custom PLM""]",79.78946095112096,86.38892796750622,14.33525641025641,0.0025798959494611,0.96,83.31,True,1.0
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,medium,true,high,8.739105534681219,"[""Custom PLM""]",80.7728830981972,87.76694106633899,11.897885727917933,0.0027798652114272,0.99,93.22,True,1.0
chuh.egfr_seg2_l58_s53469_mpnn1,medium,true,high,11.731813121217169,"[""BindCraft""]",86.95948411854735,90.3182149423504,9.827533455494477,0.001477316897107,1.0,53.21,True,1.0
jvogt4.vogt_scfv_2143,medium,true,medium,21.079470741779645,"[""Custom PLM""]",80.36977168082448,87.22786991933418,27.46445704119267,0.0003429042647135,0.3,52.81,True,1.0
