complex_id,mean_plddt_A,mean_plddt_B,interface_pae_AB,interface_contact_mean,interface_contact_max,interface_contact_sum
724928537.dbz6___a,77.77472824577951,87.22123903244083,29.97710523823056,0.0006619846006035263,0.17,48.919999999999995
724928537.dbz7___a,79.86208947468485,87.55877850803775,28.643137254901962,0.0005893178527449628,0.2,43.550000000000004
724928537.dbz8___a,79.54150943855325,87.19022880541328,28.75825789252899,0.0008503498017564515,0.29,62.84000000000001
a.tucs.andrejs_tucs_seq1,85.43216352471259,86.8045287246146,11.587076438140269,0.0028666872237640044,0.99,83.67
a.tucs.andrejs_tucs_seq10,84.83512849886795,86.71216652321725,11.95023469352794,0.002774522904032617,0.99,80.98
a.tucs.andrejs_tucs_seq2,83.47874158754607,86.26774416951439,13.88687086716689,0.002842703943536506,0.99,82.97
a.tucs.andrejs_tucs_seq3,86.03211758268581,86.77619643601075,11.681327303251447,0.00300613286737246,0.99,87.74
a.tucs.andrejs_tucs_seq4,86.17856807682973,87.79464510128055,11.406934594168638,0.0027854866892794736,0.99,81.3
a.tucs.andrejs_tucs_seq5,87.46655647659875,87.27487758461338,11.283554322129714,0.002910199746462466,0.98,84.94
a.tucs.andrejs_tucs_seq6,82.35613330888089,90.32072621851522,15.449299345599066,0.0013156542296227773,0.96,38.4
a.tucs.andrejs_tucs_seq7,85.64181491902696,87.38892148041397,11.894117243978483,0.002690238804947408,0.99,78.52
a.tucs.andrejs_tucs_seq8,87.07644134929762,86.42063771499299,11.062407921334842,0.002830712303422757,0.99,82.62
a.tucs.andrejs_tucs_seq9,85.0776434377107,86.17851326425813,12.299280501593174,0.002702915681639086,0.99,78.89
akash.arunabharathi.design10,43.543209455807066,87.61645089673537,30.11914800175669,0.0017614551310203485,0.2,48.13
akash.arunabharathi.design3,42.2661445836969,87.73800996841742,30.170275215927393,0.0018946713511930901,0.21,51.769999999999996
akash.arunabharathi.design4,58.84985556857294,87.59917743905176,30.403818877904687,0.0005413187446012093,0.5,50.76
akash.arunabharathi.design8,55.14979425114582,87.4064826694058,30.628020362578567,0.0006311360448807855,0.17,60.75000000000001
akash.arunabharathi.design9,52.788584391576,86.17436557243606,31.108114606291323,0.00046787921963237537,0.13,63.050000000000004
alan.blakely.12_3,73.46167608924324,90.43015684412474,18.920215696245446,0.0005898804983473176,0.99,83.52000000000001
alan.blakely.12_6,71.5867350045447,90.82997995851397,19.33614642483826,0.0005773088114811991,0.99,81.74000000000001
alan.blakely.16_2,74.11790532070476,90.77586556685567,19.25354540244002,0.000604888233849177,0.97,88.64999999999999
alecl.relaxeda,73.25039617295148,85.95717887666666,22.269938808373592,0.0022466988727858294,0.76,69.76
alecl.unrelaxeda,82.10154556314048,87.35640866032402,15.226895330112722,0.0026334943639291465,0.98,81.77
alejandro.corrochano-navarro.eng_scfv_binder_1,86.69057335734605,90.15156619019228,14.819535483526103,0.0003755153313154396,0.87,56.2
alejandro.corrochano-navarro.eng_scfv_binder_2,86.38258777078978,89.97578774763444,15.304849626823286,0.00037310989502943316,0.86,55.839999999999996
alejandro.corrochano-navarro.eng_scfv_binder_3,86.80214442042025,90.08079123185802,14.927231543287833,0.0003738448894501574,0.86,55.95
alessio.daddio.ad_1,88.12166003797726,90.45464940192113,10.659468599033818,0.0012977276793701917,0.98,72.53000000000002
alessio.daddio.ad_4,87.15554138470293,90.20511679241793,10.707860976918948,0.002041867954911433,0.98,76.08
alessio.daddio.ad_9,87.64291599763409,90.23284908472674,11.881281803542675,0.0005288244766505635,0.97,49.26
alex.naka.blastoise,83.80456392269247,87.26727394825937,11.416287946561699,0.0026259915309834797,0.95,88.06
alex.naka.charizard,79.19383611765011,90.46140643598025,15.845181606727502,0.0013737699051708714,0.97,38.39
alex.naka.charmander,84.95945980830587,87.32105209204936,10.993672093994157,0.0027196278404007877,0.97,91.20000000000002
alex.naka.charmeleon,83.22268111118392,90.17963428130473,14.96193236714976,0.0015773841474324565,0.95,44.08
alex.naka.ivysaur,76.0497646957784,86.11838473698789,17.32736625514403,0.002298264448022902,0.91,77.07000000000001
alex.naka.squirtle,85.48053439735644,86.79033159243745,11.082553945249597,0.002791304347826087,0.98,86.67
alex.naka.venusaur,79.83784902392355,90.12267968847776,14.990219001610306,0.001198389694041868,0.97,37.21
alex.naka.wartortle,83.63267972434544,86.86663672906707,12.097897656110215,0.002586926701258424,0.96,86.74999999999999
ali.rasouli.intern.model_77_142_3,76.64827672458952,89.68030315184552,16.52555413469736,0.001145685327271005,0.87,48.38
allongoldberg.3_52,55.06623015845492,86.85515856867931,29.072897086810134,0.0010742204655248132,0.21,36.69
allongoldberg.3_52_10_refined_ideal,64.33355345355828,87.91627319508778,28.77917728004684,0.0009178743961352657,0.27,31.35
allongoldberg.3_52_1_refined,74.80533547369025,88.37610028332958,19.471029131898696,0.0011837212706777925,0.8,40.43
allongoldberg.4_44,59.81286782679988,86.22016111794153,29.8801302247427,0.00039055753926579384,0.14,33.47
allongoldberg.4_44_0_refined,77.28583813717019,86.25128281714319,27.34488086069687,0.000417979416089057,0.25,35.82000000000001
allongoldberg.4_44_14_refined_ideal,78.3997298893098,86.33970898751917,26.409155406193847,0.00042253028075334316,0.32,36.21
amelie.schreiber.model_56_119_15,86.18855713974885,90.70460606603326,10.771514993254124,0.001194020107063585,0.96,54.86999999999999
amelie.schreiber.model_60_151_9,76.70558808462629,89.72469977552522,17.46800211005608,0.001495363429396413,0.88,53.86
amelie.schreiber.model_83_156_16,83.16672450398266,90.19358212888373,12.20784365393061,0.0009073342116820378,0.98,61.98
amirm.mhosseini.seq1,84.45427931464481,87.57803926098151,11.871178207192699,0.002597155126140634,0.99,96.77000000000001
amirm.mhosseini.seq3,78.69973351808775,90.21229162475727,15.973211193145566,0.0016048369945006532,0.97,52.82
amirm.mhosseini.seq4,75.8955516929653,89.72406973566888,17.924759213684563,0.0017130009418770697,0.97,56.379999999999995
amirm.mhosseini.seq9,75.28215972179261,89.39352101142055,18.979938018412177,0.0016431197399203962,0.94,54.08
amirmhosseini47.mohammad_seq2,80.82595096468802,87.77627198841269,13.687968714055671,0.002149528410397976,0.99,93.44000000000001
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,84.33046399640142,90.96771252334975,14.674480676328502,0.00131682769726248,0.98,32.71
